,P,R2,a,b,pred_plt
0,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9804834027152994
1,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9804359546392538
2,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9803497220580102
3,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9801629341593885
4,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9800821710191965
5,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.980037192151808
6,0.7623762376237624,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9798433480920508
7,0.7623762376237624,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9797671256771472
8,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9796840941221611
9,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9794839729646958
10,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9793998764464555
11,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9793674073289488
12,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9793564202449774
13,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9791085080082716
14,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9791080235374565
15,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.979076678408687
16,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9790432309920071
17,0.7524752475247525,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9789190130664119
18,0.7623762376237624,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9787096822065415
19,0.7623762376237624,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9787053383689808
20,0.7722772277227723,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9785616602408989
21,0.7722772277227723,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9784537874480722
22,0.7722772277227723,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9782984018791572
23,0.7722772277227723,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9780575842170098
24,0.7722772277227723,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9779957107766357
25,0.7722772277227723,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9779352969874622
26,0.7722772277227723,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9778278120441262
27,0.7722772277227723,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9776840932978063
28,0.7722772277227723,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9776124388788805
29,0.7821782178217822,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9773955891863997
30,0.7821782178217822,0.8156504018389954,0.884265055303883,0.012718365180970664,0.9771584357339814
